,sex,jbstatus,age,tenure,ethnicity,ManMot1,ManMot2,ManMot3,ManMot4,ocb1,ocb2,ocb3,ocb4,aut1,aut2,aut3,Justice1,Justice2,Justice3,JobSat1,JobSat2,Quit1,Quit2,Quit3,Man1,Man2,Man3,Eng1,Eng2,Eng3,Eng4,pos1,pos2,pos3
32,male,permanent,31-35,4.0,White British,strongly disagree,strongly agree,disagree,neither,I frequently do this,I frequently do this,I sometimes do this,I occasionally do this,strongly agree,agree,agree,strongly disagree,strongly disagree,strongly disagree,agree,neither,agree,agree,agree,agree,agree,agree,agree,strongly agree,strongly agree,agree,neither,neither,neither
33,female,permanent,46-50,0.5,White British,neither,agree,neither,agree,I sometimes do this,I sometimes do this,I sometimes do this,I sometimes do this,disagree,disagree,agree,neither,neither,neither,agree,agree,disagree,disagree,disagree,neither,neither,neither,neither,neither,neither,neither,neither,neither,neither
34,male,permanent,51-55,4.0,White British,agree,agree,agree,agree,I always do this,I frequently do this,I frequently do this,I frequently do this,strongly agree,strongly agree,strongly agree,neither,neither,disagree,agree,agree,strongly disagree,disagree,disagree,neither,disagree,disagree,strongly agree,strongly agree,agree,strongly agree,strongly agree,neither,neither
35,female,permanent,31-35,11.0,White British,disagree,disagree,disagree,neither,I frequently do this,I frequently do this,I sometimes do this,I frequently do this,neither,disagree,agree,neither,neither,disagree,agree,neither,strongly disagree,agree,neither,neither,neither,neither,neither,disagree,disagree,neither,disagree,disagree,disagree
36,female,permanent,36-40,0.2,White British,neither,agree,disagree,agree,I always do this,I frequently do this,I frequently do this,I never do this,strongly agree,disagree,strongly agree,disagree,,,neither,,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,disagree,neither,neither,neither,neither,neither,neither
37,female,permanent,51-55,11.0,White British,agree,agree,agree,agree,I frequently do this,I frequently do this,I frequently do this,I frequently do this,neither,neither,neither,disagree,neither,neither,neither,neither,disagree,disagree,disagree,agree,neither,neither,agree,agree,agree,agree,neither,neither,neither
38,male,permanent,36-40,6.0,White British,strongly disagree,agree,strongly disagree,disagree,I always do this,I always do this,I always do this,I always do this,strongly disagree,strongly disagree,strongly agree,strongly agree,strongly agree,strongly disagree,disagree,strongly agree,strongly disagree,strongly disagree,strongly disagree,disagree,disagree,disagree,strongly agree,strongly agree,strongly agree,strongly agree,agree,disagree,strongly disagree
39,female,permanent,46-50,3.0,White British,agree,agree,agree,agree,I always do this,I frequently do this,I frequently do this,I occasionally do this,agree,neither,agree,neither,disagree,disagree,agree,disagree,disagree,disagree,neither,neither,disagree,disagree,strongly agree,strongly agree,strongly agree,strongly agree,strongly disagree,disagree,disagree
40,female,permanent,26-30,2.0,White British,agree,strongly agree,agree,agree,I always do this,I always do this,I sometimes do this,I always do this,agree,agree,agree,agree,agree,neither,agree,agree,disagree,disagree,disagree,agree,disagree,disagree,strongly agree,strongly agree,agree,strongly agree,disagree,disagree,disagree
41,female,permanent,56 +,2.0,White British,agree,strongly agree,strongly agree,strongly agree,I always do this,I frequently do this,I frequently do this,I frequently do this,agree,strongly agree,agree,neither,neither,neither,agree,agree,strongly disagree,strongly disagree,strongly disagree,agree,agree,agree,neither,neither,neither,neither,disagree,neither,neither
42,female,permanent,46-50,4.0,White British,,,,,I always do this,I frequently do this,I frequently do this,I sometimes do this,agree,agree,agree,neither,neither,neither,agree,agree,disagree,neither,neither,,,agree,neither,agree,agree,agree,disagree,neither,neither
43,female,permanent,41-45,8.0,White British,agree,strongly agree,agree,strongly agree,I frequently do this,I always do this,I always do this,I frequently do this,strongly agree,agree,agree,neither,neither,neither,agree,agree,disagree,disagree,disagree,neither,neither,neither,neither,agree,neither,agree,neither,neither,neither
44,female,permanent,41-45,1.5,White British,agree,neither,agree,neither,I always do this,I frequently do this,I sometimes do this,I occasionally do this,disagree,disagree,disagree,neither,neither,neither,disagree,disagree,neither,agree,neither,disagree,disagree,disagree,neither,neither,neither,disagree,agree,disagree,disagree
45,female,permanent,46-50,3.0,White British,neither,agree,neither,neither,I sometimes do this,I frequently do this,I frequently do this,I occasionally do this,neither,disagree,disagree,neither,neither,neither,agree,agree,,,,,,,agree,agree,agree,agree,neither,neither,neither
46,female,permanent,26-30,1.5,White British,strongly agree,strongly agree,strongly agree,strongly agree,I always do this,I frequently do this,I always do this,I frequently do this,strongly agree,strongly agree,strongly agree,agree,neither,agree,agree,agree,disagree,disagree,disagree,agree,agree,agree,neither,neither,neither,neither,neither,neither,neither
47,female,permanent,36-40,1.0,White British,strongly disagree,strongly disagree,strongly disagree,strongly disagree,I occasionally do this,I occasionally do this,I never do this,I sometimes do this,agree,agree,disagree,neither,neither,neither,neither,disagree,disagree,disagree,disagree,neither,neither,neither,agree,agree,agree,agree,neither,neither,neither
48,female,permanent,36-40,4.0,White British,agree,neither,agree,,I frequently do this,I sometimes do this,I sometimes do this,I sometimes do this,agree,agree,agree,disagree,neither,neither,agree,agree,neither,neither,neither,disagree,neither,disagree,neither,neither,neither,neither,neither,neither,neither
